date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,35.0,15.0,1.0,1.0,
2010-09-18,45.0,39.59,50.51,,,,,,,,,,,,,35.0,29.59,40.51,,,,,,,,,,,,,15.0,9.6,20.51,,,,,,,,,,,,,1.0,-4.41,6.51,,,,1.0,-4.41,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-19,45.0,38.83,50.44,,,,,,,,,,,,,35.0,29.73,40.91,,,,,,,,,,,,,15.0,5.97,20.44,,,,,,,,,,,,,1.0,-4.27,6.78,,,,1.0,-4.41,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-20,45.0,38.83,50.44,,,,,,,,,,,,,35.01,29.74,40.9,,,,,,,,,,,,,14.99,5.97,20.44,,,,,,,,,,,,,1.0,-4.27,6.77,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-21,44.99,38.83,50.43,,,,,,,,,,,,,35.02,29.76,40.9,,,,,,,,,,,,,14.97,5.97,20.42,,,,,,,,,,,,,1.01,-4.24,6.77,,,,1.0,-4.42,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-22,44.98,38.83,50.4,,,,,,,,,,,,,35.04,29.83,40.89,,,,,,,,,,,,,14.93,5.97,20.39,,,,,,,,,,,,,1.02,-4.19,6.77,,,,1.01,-4.42,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-23,44.96,38.86,50.35,,,,,,,,,,,,,35.09,29.94,40.88,,,,,,,,,,,,,14.87,5.97,20.24,,,,,,,,,,,,,1.04,-4.1,6.74,,,,1.02,-4.43,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-24,44.92,38.96,50.22,,,,,,,,,,,,,35.16,30.04,40.85,,,,,,,,,,,,,14.76,5.97,20.07,,,,,,,,,,,,,1.08,-4.04,6.69,,,,1.04,-4.43,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-25,44.87,39.17,50.07,,,,,,,,,,,,,35.27,30.14,40.81,,,,,,,,,,,,,14.6,5.97,19.87,,,,,,,,,,,,,1.13,-3.99,6.61,,,,1.07,-4.45,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-26,44.79,39.21,49.9,,,,,,,,,,,,,35.41,30.53,40.83,,,,,,,,,,,,,14.38,5.97,19.64,,,,,,,,,,,,,1.21,-3.74,6.49,,,,1.1,-4.14,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-27,44.7,39.12,49.63,,,,,,,,,,,,,35.61,30.96,40.86,,,,,,,,,,,,,14.09,5.97,19.45,,,,,,,,,,,,,1.3,-3.53,6.42,,,,1.15,-3.73,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-28,44.58,39.08,49.48,,,,,,,,,,,,,35.85,31.14,41.06,,,,,,,,,,,,,13.73,5.97,19.29,,,,,,,,,,,,,1.42,-3.2,6.41,,,,1.21,-3.36,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-29,44.43,39.33,49.41,,,,,,,,,,,,,36.13,31.54,41.2,,,,,,,,,,,,,13.3,5.97,19.06,,,,,,,,,,,,,1.57,-3.03,6.58,,,,1.28,-3.32,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,44.27,39.29,49.25,,,,,,,,,,,,,36.46,31.82,41.26,,,,,,,,,,,,,12.81,5.97,18.46,,,,,,,,,,,,,1.73,-2.87,6.66,,,,1.37,-3.05,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,44.09,39.08,48.89,,,,,,,,,,,,,36.82,32.03,41.54,,,,,,,,,,,,,12.27,5.95,18.18,,,,,,,,,,,,,1.91,-2.72,6.54,,,,1.45,-2.97,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-02,43.91,38.83,48.98,,,,,,,,,,,,,37.18,31.71,41.52,,,,,,,,,,,,,11.73,5.97,17.95,,,,,,,,,,,,,2.09,-3.16,6.7,,,,1.55,-3.54,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-03,43.73,38.6,49.18,,,,,,,,,,,,,37.54,32.04,42.23,,,,,,,,,,,,,11.19,5.22,17.66,,,,,,,,,,,,,2.27,-2.96,7.07,,,,1.63,-3.44,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-04,43.57,37.95,49.39,,,,,,,,,,,,,37.87,32.02,42.75,,,,,,,,,,,,,10.7,4.66,17.7,,,,,,,,,,,,,2.43,-3.07,7.27,,,,1.72,-3.85,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
