date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,37.0,12.0,3.0,1.0,,,
2010-08-09,42.0,36.59,47.51,,,,,,,,,,,,,37.0,31.59,42.51,,,,,,,,,,,,,12.0,6.59,17.51,,,,,,,,,,,,,3.0,-2.41,8.51,,,,1.0,-4.41,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,42.0,36.73,47.78,,,,,,,,,,,,,37.0,31.59,42.44,,,,,,,,,,,,,12.0,6.59,17.44,,,,,,,,,,,,,3.0,-2.41,8.44,,,,1.0,-4.41,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,42.0,36.73,47.78,,,,,,,,,,,,,37.0,31.59,42.44,,,,,,,,,,,,,12.0,6.58,17.44,,,,,,,,,,,,,3.0,-2.42,8.44,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,42.0,36.73,47.78,,,,,,,,,,,,,37.0,31.58,42.44,,,,,,,,,,,,,12.0,6.58,17.44,,,,,,,,,,,,,3.0,-2.42,8.44,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-13,42.0,36.73,47.78,,,,,,,,,,,,,37.0,31.58,42.44,,,,,,,,,,,,,12.0,6.58,17.44,,,,,,,,,,,,,3.0,-2.42,8.44,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-14,42.0,36.74,47.77,,,,,,,,,,,,,37.0,31.58,42.44,,,,,,,,,,,,,12.0,6.58,17.44,,,,,,,,,,,,,3.0,-2.42,8.44,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-15,42.01,36.75,47.77,,,,,,,,,,,,,37.0,31.58,42.43,,,,,,,,,,,,,12.0,6.58,17.43,,,,,,,,,,,,,3.0,-2.42,8.43,,,,1.0,-4.42,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-16,42.01,36.76,47.77,,,,,,,,,,,,,37.0,31.58,42.43,,,,,,,,,,,,,12.0,6.58,17.43,,,,,,,,,,,,,3.0,-2.42,8.43,,,,1.0,-4.42,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-17,42.01,36.77,47.77,,,,,,,,,,,,,37.01,31.58,42.42,,,,,,,,,,,,,11.99,6.58,17.42,,,,,,,,,,,,,2.99,-2.42,8.42,,,,1.0,-4.42,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
