date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Ukip (to 2019 election),Ukip (to 2019 election) (low),Ukip (to 2019 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,47.0,11.0,4.0,1.0,,,
2010-09-18,35.0,29.59,40.51,,,,,,,,,,,,,47.0,41.59,52.51,,,,,,,,,,,,,11.0,5.59,16.51,,,,,,,,,,,,,4.0,-1.4,9.51,,,,,,,,,,1.0,-4.41,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-19,35.0,28.36,40.44,,,,,,,,,,,,,47.0,41.73,52.78,,,,,,,,,,,,,11.0,4.36,16.44,,,,,,,,,,,,,4.0,-1.27,9.78,,,,,,,,,,1.0,-4.41,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-20,35.0,28.36,40.44,,,,,,,,,,,,,47.0,41.73,52.77,,,,,,,,,,,,,11.0,4.36,16.44,,,,,,,,,,,,,4.0,-1.27,9.77,,,,,,,,,,1.0,-4.42,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-21,34.99,28.39,40.43,,,,,,,,,,,,,47.01,41.76,52.77,,,,,,,,,,,,,10.99,4.39,16.43,,,,,,,,,,,,,4.01,-1.24,9.77,,,,,,,,,,1.0,-4.42,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-22,34.97,28.43,40.4,,,,,,,,,,,,,47.02,41.81,52.77,,,,,,,,,,,,,10.97,4.43,16.4,,,,,,,,,,,,,4.02,-1.19,9.77,,,,,,,,,,1.01,-4.42,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-23,34.93,28.5,40.33,,,,,,,,,,,,,47.04,41.9,52.74,,,,,,,,,,,,,10.93,4.5,16.32,,,,,,,,,,,,,4.04,-1.1,9.74,,,,,,,,,,1.02,-4.43,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-24,34.88,28.59,40.17,,,,,,,,,,,,,47.08,41.96,52.69,,,,,,,,,,,,,10.88,4.59,16.17,,,,,,,,,,,,,4.08,-1.04,9.69,,,,,,,,,,1.04,-4.43,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-25,34.8,28.59,40.0,,,,,,,,,,,,,47.13,42.01,52.61,,,,,,,,,,,,,10.8,4.59,16.0,,,,,,,,,,,,,4.13,-0.99,9.61,,,,,,,,,,1.07,-4.45,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-26,34.69,28.59,39.82,,,,,,,,,,,,,47.21,42.26,52.49,,,,,,,,,,,,,10.69,4.59,15.82,,,,,,,,,,,,,4.21,-0.74,9.49,,,,,,,,,,1.1,-4.14,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
