date,Con (pre-2010 election),Con (pre-2010 election) (low),Con (pre-2010 election) (high),Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2010 election),Lab (pre-2010 election) (low),Lab (pre-2010 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2010 election),LDem (pre-2010 election) (low),LDem (pre-2010 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Ukip (to 2019 election),Ukip (to 2019 election) (low),Ukip (to 2019 election) (high),Ukip (to 2024 election),Ukip (to 2024 election) (low),Ukip (to 2024 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2019 election),SNP (to 2019 election) (low),SNP (to 2019 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2019 election),PC (to 2019 election) (low),PC (to 2019 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2005-05-23,30.4,27.14,33.25,,,,,,,,,,,,,,,,38.05,34.95,41.53,,,,,,,,,,,,,,,,23.93,20.0,26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,37.0,26.0,,,,,
2005-05-24,30.4,27.15,33.18,,,,,,,,,,,,,,,,38.12,35.04,41.55,,,,,,,,,,,,,,,,23.85,19.93,26.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-25,30.39,27.17,33.05,,,,,,,,,,,,,,,,38.19,35.15,41.53,,,,,,,,,,,,,,,,23.77,19.83,26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-26,30.39,27.27,33.03,,,,,,,,,,,,,,,,38.25,35.22,41.52,,,,,,,,,,,,,,,,23.69,19.88,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,38.0,23.0,,,,,
2005-05-27,30.4,27.31,33.0,,,,,,,,,,,,,,,,38.3,35.29,41.46,,,,,,,,,,,,,,,,23.6,19.96,26.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-28,30.41,27.32,32.94,,,,,,,,,,,,,,,,38.35,35.41,41.26,,,,,,,,,,,,,,,,23.52,20.07,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-29,30.42,27.33,32.91,,,,,,,,,,,,,,,,38.4,35.57,41.29,,,,,,,,,,,,,,,,23.44,20.06,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-30,30.44,27.39,32.9,,,,,,,,,,,,,,,,38.44,35.68,41.32,,,,,,,,,,,,,,,,23.36,20.05,26.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,30.46,27.56,32.9,,,,,,,,,,,,,,,,38.48,35.73,41.35,,,,,,,,,,,,,,,,23.28,20.05,26.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,30.48,27.57,32.91,,,,,,,,,,,,,,,,38.51,35.75,41.4,,,,,,,,,,,,,,,,23.21,20.0,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-02,30.5,27.64,32.95,,,,,,,,,,,,,,,,38.55,35.79,41.46,,,,,,,,,,,,,,,,23.14,20.03,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-03,30.52,27.7,32.98,,,,,,,,,,,,,,,,38.57,35.81,41.46,,,,,,,,,,,,,,,,23.06,20.0,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-04,30.54,27.71,33.0,,,,,,,,,,,,,,,,38.6,35.84,41.45,,,,,,,,,,,,,,,,22.99,19.99,25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-05,30.57,27.76,33.02,,,,,,,,,,,,,,,,38.62,35.87,41.38,,,,,,,,,,,,,,,,22.93,19.96,25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-06,30.59,27.84,33.03,,,,,,,,,,,,,,,,38.65,35.91,41.39,,,,,,,,,,,,,,,,22.86,19.89,25.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-07,30.61,27.96,33.17,,,,,,,,,,,,,,,,38.67,35.95,41.45,,,,,,,,,,,,,,,,22.8,19.91,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08,30.64,27.78,33.23,,,,,,,,,,,,,,,,38.69,35.99,41.51,,,,,,,,,,,,,,,,22.73,19.72,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-09,30.66,27.79,33.23,,,,,,,,,,,,,,,,38.71,36.04,41.53,,,,,,,,,,,,,,,,22.67,19.77,25.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-10,30.68,27.83,33.22,,,,,,,,,,,,,,,,38.73,36.05,41.5,,,,,,,,,,,,,,,,22.61,19.82,25.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-11,30.7,27.89,33.26,,,,,,,,,,,,,,,,38.76,36.17,41.46,,,,,,,,,,,,,,,,22.55,19.9,25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-12,30.72,27.94,33.25,,,,,,,,,,,,,,,,38.79,36.25,41.45,,,,,,,,,,,,,,,,22.49,19.88,25.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-13,30.73,28.01,33.22,,,,,,,,,,,,,,,,38.82,36.34,41.46,,,,,,,,,,,,,,,,22.44,19.84,25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-14,30.74,28.08,33.29,,,,,,,,,,,,,,,,38.86,36.45,41.4,,,,,,,,,,,,,,,,22.39,19.92,25.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15,30.75,28.02,33.19,,,,,,,,,,,,,,,,38.9,36.54,41.37,,,,,,,,,,,,,,,,22.35,20.02,25.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-16,30.75,27.99,33.13,,,,,,,,,,,,,,,,38.94,36.57,41.38,,,,,,,,,,,,,,,,22.31,20.09,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-17,30.74,27.93,33.19,,,,,,,,,,,,,,,,38.99,36.6,41.41,,,,,,,,,,,,,,,,22.27,20.07,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-18,30.73,27.98,33.23,,,,,,,,,,,,,,,,39.04,36.63,41.53,,,,,,,,,,,,,,,,22.24,20.05,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-19,30.7,27.95,33.35,,,,,,,,,,,,,,,,39.1,36.68,41.59,,,,,,,,,,,,,,,,22.22,19.95,24.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,38.0,23.0,,,,,
2005-06-20,30.68,28.05,33.24,,,,,,,,,,,,,,,,39.16,36.77,41.57,,,,,,,,,,,,,,,,22.19,20.05,24.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,42.0,21.0,,,,,
2005-06-21,30.65,28.04,33.1,,,,,,,,,,,,,,,,39.21,36.89,41.55,,,,,,,,,,,,,,,,22.17,20.05,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-22,30.61,28.03,33.1,,,,,,,,,,,,,,,,39.27,36.98,41.56,,,,,,,,,,,,,,,,22.16,19.98,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-23,30.57,28.0,33.05,,,,,,,,,,,,,,,,39.33,37.05,41.64,,,,,,,,,,,,,,,,22.15,19.86,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-24,30.53,27.94,33.05,,,,,,,,,,,,,,,,39.38,37.1,41.71,,,,,,,,,,,,,,,,22.14,19.84,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-25,30.49,27.94,32.97,,,,,,,,,,,,,,,,39.43,37.21,41.77,,,,,,,,,,,,,,,,22.13,19.88,24.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-26,30.45,27.94,32.87,,,,,,,,,,,,,,,,39.48,37.26,41.84,,,,,,,,,,,,,,,,22.13,19.86,24.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-27,30.41,27.98,32.76,,,,,,,,,,,,,,,,39.52,37.42,41.81,,,,,,,,,,,,,,,,22.13,19.88,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-28,30.37,28.04,32.64,,,,,,,,,,,,,,,,39.55,37.45,41.93,,,,,,,,,,,,,,,,22.14,19.89,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-29,30.34,28.11,32.54,,,,,,,,,,,,,,,,39.58,37.46,41.97,,,,,,,,,,,,,,,,22.14,19.85,24.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,30.31,28.18,32.45,,,,,,,,,,,,,,,,39.6,37.47,41.91,,,,,,,,,,,,,,,,22.15,19.83,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,38.0,20.0,,,,,
2005-07-01,30.28,28.12,32.44,,,,,,,,,,,,,,,,39.62,37.47,41.88,,,,,,,,,,,,,,,,22.16,19.84,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-02,30.26,28.16,32.45,,,,,,,,,,,,,,,,39.63,37.47,41.86,,,,,,,,,,,,,,,,22.17,19.8,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-03,30.24,28.13,32.44,,,,,,,,,,,,,,,,39.64,37.44,41.72,,,,,,,,,,,,,,,,22.18,19.83,24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-04,30.22,28.11,32.45,,,,,,,,,,,,,,,,39.65,37.48,41.72,,,,,,,,,,,,,,,,22.18,19.87,24.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-05,30.21,28.1,32.43,,,,,,,,,,,,,,,,39.66,37.51,41.76,,,,,,,,,,,,,,,,22.19,19.89,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
