date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,27.0,17.0,2.0,2.0,,,
2010-08-09,51.0,45.59,56.51,,,,,,,,,,,,,27.0,21.59,32.51,,,,,,,,,,,,,17.0,11.6,22.51,,,,,,,,,,,,,2.0,-3.41,7.51,,,,2.0,-3.41,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,51.0,45.73,56.78,,,,,,,,,,,,,27.0,21.59,32.44,,,,,,,,,,,,,17.0,7.97,22.44,,,,,,,,,,,,,2.0,-3.27,7.78,,,,2.0,-3.41,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,51.0,45.73,56.78,,,,,,,,,,,,,27.0,21.59,32.44,,,,,,,,,,,,,17.0,7.97,22.44,,,,,,,,,,,,,2.0,-3.27,7.78,,,,2.0,-3.41,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,51.0,45.73,56.78,,,,,,,,,,,,,27.0,21.58,32.44,,,,,,,,,,,,,17.0,7.97,22.44,,,,,,,,,,,,,2.0,-3.27,7.78,,,,2.0,-3.42,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-13,51.0,45.73,56.78,,,,,,,,,,,,,27.0,21.58,32.44,,,,,,,,,,,,,16.99,7.97,22.44,,,,,,,,,,,,,2.0,-3.27,7.78,,,,2.0,-3.42,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-14,51.0,45.74,56.77,,,,,,,,,,,,,27.0,21.58,32.44,,,,,,,,,,,,,16.99,7.97,22.44,,,,,,,,,,,,,2.0,-3.26,7.77,,,,2.0,-3.42,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-15,51.01,45.75,56.77,,,,,,,,,,,,,27.0,21.58,32.43,,,,,,,,,,,,,16.98,7.97,22.43,,,,,,,,,,,,,2.01,-3.25,7.77,,,,2.0,-3.42,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-16,51.01,45.76,56.77,,,,,,,,,,,,,27.0,21.58,32.43,,,,,,,,,,,,,16.97,7.97,22.42,,,,,,,,,,,,,2.01,-3.24,7.77,,,,2.0,-3.42,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-17,51.01,45.77,56.77,,,,,,,,,,,,,27.01,21.58,32.42,,,,,,,,,,,,,16.96,7.97,22.41,,,,,,,,,,,,,2.01,-3.22,7.77,,,,2.01,-3.42,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
