date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Ukip (to 2019 election),Ukip (to 2019 election) (low),Ukip (to 2019 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2015 election),PC (to 2015 election) (low),PC (to 2015 election) (high),PC (to 2017 election),PC (to 2017 election) (low),PC (to 2017 election) (high),PC (to 2019 election),PC (to 2019 election) (low),PC (to 2019 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,39.0,12.0,8.0,1.0,,13.0,
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,37.0,4.0,15.0,,,12.0,
2015-07-06,,,,28.0,20.24,33.87,,,,,,,,,,,,,37.0,29.24,42.87,,,,,,,,,,,,,4.0,-3.76,9.87,,,,,,,,,,,,,15.0,7.24,20.87,,,,,,,,,,,,,,,,,,,,,,12.0,4.24,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,,,,28.0,20.35,33.63,,,,,,,,,,,,,37.0,29.61,44.46,,,,,,,,,,,,,4.0,-3.65,9.96,,,,,,,,,,,,,15.0,7.35,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.35,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,,,28.0,20.35,33.63,,,,,,,,,,,,,37.0,29.61,44.46,,,,,,,,,,,,,4.0,-3.65,9.96,,,,,,,,,,,,,15.0,7.36,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.35,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,28.0,20.36,33.63,,,,,,,,,,,,,37.01,29.62,44.46,,,,,,,,,,,,,4.0,-3.63,9.96,,,,,,,,,,,,,15.0,7.37,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.36,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,27.99,20.38,33.63,,,,,,,,,,,,,37.01,29.63,44.46,,,,,,,,,,,,,4.0,-3.62,9.96,,,,,,,,,,,,,15.0,7.38,20.96,,,,,,,,,,,,,,,,,,,,,,11.99,4.38,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,,,,27.99,20.4,33.62,,,,,,,,,,,,,37.03,29.64,44.46,,,,,,,,,,,,,4.01,-3.58,9.96,,,,,,,,,,,,,15.01,7.42,20.96,,,,,,,,,,,,,,,,,,,,,,11.99,4.4,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,,,,27.98,20.43,33.61,,,,,,,,,,,,,37.05,29.7,44.46,,,,,,,,,,,,,4.01,-3.54,9.96,,,,,,,,,,,,,15.01,7.46,20.96,,,,,,,,,,,,,,,,,,,,,,11.98,4.43,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,27.97,20.48,33.59,,,,,,,,,,,,,37.07,29.81,44.46,,,,,,,,,,,,,4.01,-3.49,9.96,,,,,,,,,,,,,15.01,7.52,20.96,,,,,,,,,,,,,,,,,,,,,,11.97,4.47,17.59,,,,,,,,,,,,,,,,,,,,,,,,,,
