subgroup,Con latest,Con 2m ago,Con 6m ago,Lab latest,Lab 2m ago,Lab 6m ago,LDem latest,LDem 2m ago,LDem 6m ago,Grn latest,Grn 2m ago,Grn 6m ago,SNP latest,SNP 2m ago,SNP 6m ago,PC latest,PC 2m ago,PC 6m ago,Reform latest,Reform 2m ago,Reform 6m ago,Ukip latest,Ukip 2m ago,Ukip 6m ago
65+,31.7,30.7,27.5,14.45,14.1,12.7,12.32,12.7,13.2,3.29,3.6,5.5,4.12,4.1,2.0,1.82,2.0,1.5,29.32,30.2,34.0,,,
50-64,19.37,19.1,17.2,21.35,19.9,17.7,11.85,11.9,13.3,7.28,8.0,11.2,3.51,3.5,1.0,2.27,2.3,1.7,29.51,30.5,31.6,,,
35-49,14.93,14.9,14.3,27.0,25.2,21.2,10.77,11.3,12.4,14.43,15.9,22.2,2.49,2.5,3.0,2.35,2.4,1.7,22.54,22.2,20.0,,,
18-34,10.49,10.4,8.4,28.66,26.5,19.6,9.73,10.9,14.3,26.28,29.0,40.7,2.71,2.7,4.0,2.2,2.2,1.3,16.17,14.5,9.9,,,
C2DE voters,19.39,17.9,16.9,18.28,16.0,15.1,8.62,9.3,11.3,9.58,11.4,14.5,3.46,3.3,,1.65,1.9,,33.28,34.3,33.1,,,
ABC1 voters,19.72,19.8,18.9,25.51,22.2,20.1,13.07,14.4,15.7,12.52,14.8,18.8,2.21,2.2,,2.0,2.0,,19.64,19.7,19.1,,,
London,20.12,20.4,18.3,29.52,28.6,27.1,11.24,11.9,12.8,16.24,18.1,22.3,,,,3.5,3.6,,17.79,16.4,16.0,3.67,,
Southern England,22.53,22.3,21.0,16.99,15.7,13.7,16.03,16.9,18.7,11.78,12.4,16.1,,,,4.0,3.6,,26.78,27.0,26.3,4.78,,
Northern England,17.33,17.0,15.1,28.47,26.7,22.3,8.72,9.0,9.6,13.45,14.4,18.6,,,,5.0,8.2,5.2,26.6,27.4,29.9,1.0,,
Midlands,22.05,22.2,21.2,22.8,21.2,18.1,8.35,8.4,9.3,13.37,14.1,18.4,0.0,0.0,,4.0,3.6,1.0,28.1,28.5,28.2,5.96,,
UK/GB,19.24,19.0,18.2,24.08,19.9,19.0,10.56,11.7,12.2,11.49,13.0,15.3,13.37,9.7,,12.33,8.4,2.0,23.77,25.5,27.6,6.0,,
Scotland,12.29,12.3,9.6,18.24,16.5,14.9,9.3,10.0,9.9,7.77,8.9,9.1,34.43,33.6,34.0,5.5,5.6,,16.3,16.8,19.9,2.23,,
Wales,14.4,13.5,11.3,19.38,17.3,15.0,4.84,4.5,6.5,8.68,8.4,11.3,,,,29.24,30.7,27.9,23.18,25.0,25.9,1.71,,
